;Dato;Pris; Total produksjon av elektrisk kraft ; 02 Import ; 03 Eksport ; Nettoeksport 
2010M01;2010-01-01;411.32; 14 825 249 ; 955 497 ; 802 312 ;-1.03 %
2010M02;2010-02-01;642.71; 12 624 913 ; 936 811 ; 411 703 ;-4.16 %
2010M03;2010-03-01;484.36; 11 229 016 ; 1 447 281 ; 150 579 ;-11.55 %
2010M04;2010-04-01;385.48; 8 708 195 ; 1 657 794 ; 118 342 ;-17.68 %
2010M05;2010-05-01;355.46; 7 599 771 ; 2 077 840 ; 284 937 ;-23.59 %
2010M06;2010-06-01;361.27; 7 016 890 ; 1 798 753 ; 340 882 ;-20.78 %
2010M07;2010-07-01;365.8; 8 072 563 ; 848 367 ; 980 985 ;1.64 %
2010M08;2010-08-01;339.87; 7 884 353 ; 927 098 ; 626 960 ;-3.81 %
2010M09;2010-09-01;384.59; 8 888 843 ; 729 246 ; 867 248 ;1.55 %
2010M10;2010-10-01;396.48; 11 349 305 ; 751 459 ; 1 368 841 ;5.44 %
2010M11;2010-11-01;448.85; 12 180 809 ; 1 202 123 ; 631 703 ;-4.68 %
2010M12;2010-12-01;655.9; 14 067 491 ; 1 340 274 ; 538 982 ;-5.70 %
2011M01;2011-01-01;561.89; 11 271 047 ; 2 408 661 ; 79 020 ;-20.67 %
2011M02;2011-02-01;516.77; 10 550 937 ; 1 994 493 ; 100 740 ;-17.95 %
2011M03;2011-03-01;511.84; 10 151 019 ; 2 273 168 ; 74 456 ;-21.66 %
2011M04;2011-04-01;423.5; 8 433 751 ; 1 597 366 ; 354 790 ;-14.73 %
2011M05;2011-05-01;428.82; 8 642 885 ; 827 686 ; 431 809 ;-4.58 %
2011M06;2011-06-01;378.63; 9 356 959 ; 301 100 ; 1 304 640 ;10.73 %
2011M07;2011-07-01;291.48; 10 542 100 ; 93 782 ; 2 456 237 ;22.41 %
2011M08;2011-08-01;285.52; 10 494 922 ; 139 557 ; 2 288 152 ;20.47 %
2011M09;2011-09-01;178.53; 10 429 241 ; 360 676 ; 1 820 754 ;14.00 %
2011M10;2011-10-01;200.96; 12 177 208 ; 226 598 ; 1 930 749 ;13.99 %
2011M11;2011-11-01;315.27; 13 089 656 ; 162 388 ; 2 174 711 ;15.37 %
2011M12;2011-12-01;265.14; 13 004 706 ; 869 132 ; 1 312 765 ;3.41 %
2012M01;2012-01-01;279.96; 15 428 126 ; 344 944 ; 2 228 872 ;12.21 %
2012M02;2012-02-01;357.87; 14 431 042 ; 261 022 ; 1 967 605 ;11.83 %
2012M03;2012-03-01;216.16; 12 880 484 ; 331 565 ; 1 569 962 ;9.61 %
